id,title,text
1,Yellow taxi notes,"Driver reported heavy traffic near 5th Ave; trip took 45 minutes."
2,Late night pickup,"Passenger requested quick route; tip was low."
3,Accident on route,"Driver observed minor collision at intersection; police arrived."
4,Airport run,"Long queue at arrivals; passenger had 2 bags and asked to stop at gas station."
5,Short ride,"Very short distance; quick payment with card."
6,Traffic delay,"Slow moving traffic on Broadway caused 20 minute delay."
7,Airport pickup,"Passenger missed flight; required a wait at terminal for 30 minutes."
8,Rush hour,"Multiple pickups in rush hour; trip time doubled."
9,Rude passenger,"Passenger was rude and refused to provide destination details."
10,Good tip,"Passenger left a generous tip and thanked the driver."
11,Lost item reported,"Passenger left a phone on the back seat; returned to the driver."
12,Passenger assistance,"Helped elderly passenger with luggage into trunk."
13,Flat tire,"Flat tire on route; had to pull over and call for assistance."
14,Road closure,"Road closed due to construction; detour added 10 minutes."
15,Wrong address,"Passenger provided incorrect address; navigation corrected."
16,Child seat request,"Passenger requested a child seat; driver provided one."
17,Pet on board,"Passenger traveled with small dog in carrier."
18,Bad weather,"Heavy rain slowed traffic; windshield wipers at max."
19,High demand,"Surge pricing in effect due to event downtown."
20,Long wait,"Waited 25 minutes for passenger at pickup point."
21,Payment issue,"Card machine declined; passenger paid cash instead."
22,Short fare,"Very short fare < 1 mile; passenger paid exact change."
23,Multiple stops,"Passenger requested two stops along the route."
24,Taxi pool,"Shared ride with two passengers going in similar directions."
25,Hotel pickup,"Picked up passenger at Hilton; luggage assistance requested."
26,Airport dropoff,"Dropped at Terminal 4; assisted with check-in luggage."
27,Music preference,"Passenger requested radio off for quiet trip."
28,Scenic route,"Passenger asked to take scenic route along river."
29,Traffic accident ahead,"Slow traffic due to accident; emergency vehicles present."
30,Medical emergency,"Passenger reported feeling ill; stopped and called paramedics."
31,Lost and found,"Found sunglasses under seat; left at dispatcher office."
32,Fare dispute,"Passenger disputed fare; explained route and meter charges."
33,Passenger late,"Passenger arrived late; driver waited extra 10 minutes."
34,Navigation error,"GPS routed through narrow streets; driver corrected."
35,Long distance,"Long intercity trip; passenger slept most of journey."
36,Short notice pickup,"Pickup requested within 2 minutes; driver arrived quickly."
37,Event traffic,"Concert letting out caused heavy congestion near venue."
38,Street protest,"Protest blocked main road; had to reroute via side streets."
39,Traffic jam,"Unexplained standstill; passengers frustrated."
40,Luggage heavy,"Passenger had 3 large suitcases; required trunk space."
41,Quiet passenger,"Passenger preferred silence and wore headphones."
42,Driver friendly,"Driver engaged in light conversation and was polite."
43,Driver distracted,"Driver received phone call while driving; brief distraction."
44,Unexpected toll,"Passenger unaware of toll; paid additional fee."
45,Gas station stop,"Stopped at gas station on passenger request for restroom."
46,Weather delay,"Snow reduced speed and visibility on morning trip."
47,Construction detour,"Construction detour added 15 minutes to ETA."
48,School dropoff,"Dropped child at school; parent thanked driver."
49,Miscommunication,"Passenger spoke limited English; used map pin for address."
50,Evening trip,"Calm evening trip with smooth traffic."
51,Overcharged claim,"Passenger claimed overcharge; reviewed meter details."
52,Driver assistance,"Assisted passenger in wheelchair into trunk and taxi."
53,Mechanical issue,"Engine light came on; returned to garage after shift."
54,Short pickup,"Passenger stepped outside building and boarded quickly."
55,Airport delay,"Flight delayed led to extended wait at the airport."
56,Holiday traffic,"Holiday parade caused multiple street closures."
57,Early morning,"Early morning trip with light traffic and fast travel."
58,Late cancellation,"Passenger canceled at pickup point; returned to base."
59,Long detour,"GPS suggested detour; passenger agreed to alternate route."
60,Friendly chat,"Passenger and driver had pleasant conversation about city."
61,Driver complaint,"Passenger complained about driver’s driving style."
62,No-show,"Passenger did not show up after 10 minute wait; canceled ride."
63,Child crying,"Child in car cried; passenger comforted them during trip."
64,Pet allergy,"Next passenger reported pet allergy; cleaned seat after dropoff."
65,Driver navigation,"Driver used local knowledge to avoid gridlock and save time."
66,Heavy luggage,"Passenger had oversized luggage; required trunk assistance."
67,Scaffold obstruction,"Scaffolding narrowed lane; had to slow down considerably."
68,Taxi lane,"Used taxi-only lane to bypass slow traffic for pickup."
69,Concert pickup,"Multiple band members in group; loaded instruments carefully."
70,Airport luggage check,"Passenger checked bags after dropoff; thanked for help."
71,Passenger sick,"Passenger vomited; cleaned vehicle after arrival."
72,Parking trouble,"Had to circle block to find legal stopping spot."
73,Roadworks,"Roadworks shifted traffic patterns; longer wait at lights."
74,Delivery request,"Passenger needed to drop a package at a store on the way."
75,Traffic light outage,"Traffic lights not working; manual navigation through intersection."
76,Highway speed,"Smooth highway run with minimal stops."
77,Local festival,"Street festival required detour through quieter neighborhoods."
78,Driver safety,"Driver followed safety precautions in heavy rain."
79,Passenger missed stop,"Passenger missed their stop; redirection added 7 minutes."
80,Low fare,"Short trip with low fare; passenger tipped small amount."
81,Taxi cleanliness,"Vehicle kept clean; passenger complimented on hygiene."
82,Child seat missing,"No child seat available; passenger declined ride."
83,Unregistered ride,"Passenger used unverified booking; driver verified details."
84,Traffic sensor issue,"Adaptive signals slowed progress through downtown."
85,Driver first aid,"Driver administered basic first aid until help arrived."
86,Police interaction,"Pulled over for routine check; no issues."
87,Wrong turn,"Wrong turn on unfamiliar street, corrected quickly."
88,Long queue,"Taxi queue at airport very long; waited to reach front."
89,Event pickup,"Picked up attendee from conference center with many taxis."
90,Passenger luggage mix,"Passengers mixed up identical bags; clarified owners."
91,Taxi meter fault,"Meter briefly malfunctioned; restarted after repairs."
92,Donation,"Passenger donated leftover cash to driver for charity."
93,Driver recommendation,"Driver recommended local restaurant to passenger."
94,Lost child,"Assisted family looking for missing child at station."
95,Severe weather,"High winds and rain reduced visibility significantly."
